"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005488",0.00239975950610675,0.572090894038123,63.1999769346096,48,4937,"binding"
"2","GO:0046914",0.0033375367748744,0.289815186438087,12.5708684119479,4,982,"transition metal ion binding"
"3","GO:0046872",0.0151975663294232,0.476259562120812,17.2433398685273,9,1347,"metal ion binding"
"4","GO:0005515",0.0196140788205605,0.519411764705882,19.2915465344251,11,1507,"protein binding"
"5","GO:0003700",0.0223607249009152,0,3.7123745819398,0,290,"transcription factor activity, sequence-specific DNA binding"
"6","GO:0001071",0.0223607249009152,0,3.7123745819398,0,290,"nucleic acid binding transcription factor activity"
"7","GO:0043169",0.0286602707883454,0.528786211954529,17.4097566601315,10,1360,"cation binding"
"8","GO:0003677",0.0298534383328151,0.342016588906169,8.26963441356245,3,646,"DNA binding"
"9","GO:0008270",0.0386402596065637,0.405830118828798,9.29373774651136,4,726,"zinc ion binding"
"10","GO:0003676",0.0419757144493452,0.554944383327222,16.718486910391,10,1306,"nucleic acid binding"
"11","GO:0004672",0.0458284749513132,0,3.02110483219928,0,236,"protein kinase activity"
