"","logFC","logCPM","LR","PValue","FDR"
"HWER_07852",-6.90149603211527,6.34894941147646,376.675601270776,6.58784471522154e-84,1.73392072904631e-80
"HWER_06154",5.1855874203432,5.85699038077727,358.418785676823,6.22143984708173e-80,8.18741483875956e-77
"HWER_13913",-4.51868444744027,5.60834744653034,352.815829859695,1.03266552044103e-78,9.05991883266927e-76
"HWER_15617",4.0863231361129,8.54342150204544,279.361740503428,1.03439043706636e-62,6.80628907589663e-60
"HWER_09857",3.55181208723192,7.66863958335853,277.604073620681,2.49872168972772e-62,1.31532709747267e-59
"HWER_03971",3.95157163505281,8.71781207282978,274.068907619298,1.47276223736228e-61,6.46051701456252e-59
"HWER_05484",5.40013944861968,6.26683260131226,261.618327704905,7.61664082855177e-59,2.86385695153546e-56
"HWER_02905",-4.07535514880774,6.52709978054563,259.50833791254,2.19627701996545e-58,7.22575139568631e-56
"HWER_08887",4.15562437935879,7.88082494345752,255.558798873996,1.59449619185225e-57,4.66301552995014e-55
"HWER_12147",3.4641916253694,6.80936476960877,247.880058725857,7.52685796144699e-56,1.98106901545285e-53
"HWER_05039",-4.74040473086901,8.80873008405648,228.267903712539,1.42262351376678e-51,3.40395008021289e-49
"HWER_03719",-4.92383860855808,6.63454247494208,226.734841477905,3.07213942218582e-51,6.73822579932757e-49
"HWER_15277",2.88408596112394,7.37195665683086,221.443373979433,4.38078050923642e-50,8.86939561562328e-48
"HWER_03949",2.47408882970235,7.20797427907189,213.90914277084,1.92769421441038e-48,3.62406512309151e-46
"HWER_13429",-9.27084139876412,6.57972985295823,213.085016848031,2.91625406266012e-48,5.11705379528096e-46
"HWER_03623",2.42065343635645,7.19842327569987,199.156262939079,3.19121532540599e-45,5.24954921029285e-43
"HWER_08156",-3.56564166889206,7.82083088160223,194.46717723634,3.36744621280399e-44,5.21359907770594e-42
"HWER_04805",-3.71966549014976,8.78225662892834,191.599467778833,1.42301434707315e-43,2.0807632008314e-41
"HWER_09462",-3.5418614085125,8.57390819725567,189.207643933701,4.73464159059812e-43,6.5587245612917e-41
"HWER_13732",2.73535421240786,8.54491816939772,185.936703086492,2.45081382852485e-42,3.2252709983387e-40
"HWER_08139",-4.20974071926547,8.11667663521446,179.313757586065,6.84315574105034e-41,8.57675519544976e-39
"HWER_07564",-4.39947702589337,6.53156262785102,174.12314755195,9.304464553778e-40,1.11315230479744e-37
"HWER_03024",3.22379897898071,6.23817180837182,161.914398800478,4.31907070703973e-37,4.94251917431677e-35
"HWER_11834",2.93259958803357,6.80506990200286,156.305486778938,7.25959429067475e-36,7.96135507210664e-34
"HWER_10176",-2.65451194800183,7.28996162696466,155.526384501681,1.07439466105163e-35,1.13112269915516e-33
"HWER_03878",3.06738046221392,8.22655131381669,147.818175505143,5.19849038183293e-34,5.26247180191702e-32
"HWER_02708",2.16489509469191,7.45902594836932,143.818642565735,3.89262060284932e-33,3.79458423211089e-31
"HWER_00308",2.47416584417948,8.40413654598459,143.468041398877,4.64405148632748e-33,4.36540839714783e-31
"HWER_16005",2.30342505065569,7.75645329764924,139.043721946011,4.30858437033961e-32,3.91041174577029e-30
"HWER_03939",-2.06305586325885,7.15670408080336,136.693539420636,1.40708424056732e-31,1.23448190705773e-29
"HWER_08019",-2.36001967476169,6.03900901617149,136.60208072764,1.47340922842398e-31,1.25097196426191e-29
"HWER_03917",2.2640819754298,7.69124669694687,131.014713329596,2.45777794623382e-30,2.02152236077731e-28
"HWER_04340",-2.56542900935238,6.24808154999628,127.649457099309,1.33926064304286e-29,1.06816182196631e-27
"HWER_07346",-2.49638602105104,8.87944520298251,126.939564960298,1.91517687555621e-29,1.48257221660704e-27
"HWER_00383",2.065546052904,7.79550606094856,125.640962964244,3.68464427675679e-29,2.7708524961211e-27
"HWER_10140",-2.55870332787957,7.39401011645567,122.45929185209,1.83134445481853e-28,1.33891627918955e-26
"HWER_06798",-2.34903793412184,6.08906852160183,120.084970252893,6.06082262089825e-28,4.31137436167681e-26
"HWER_05346",2.14550210238693,7.05677886139177,119.85189831408,6.81643997278634e-28,4.72128158115096e-26
"HWER_14473",2.44515168009477,6.26336742905761,118.450887406602,1.38132350787473e-27,9.32216275058025e-26
"HWER_11128",2.15591606108324,5.99750429356124,117.51048695289,2.21923576543083e-27,1.46025713365348e-25
"HWER_11608",2.45160398739258,8.33490618460874,117.428708927149,2.31265055364537e-27,1.4846088432182e-25
"HWER_13042",2.11913510973909,6.37578098205619,116.940360400014,2.95830982005528e-27,1.85387415390131e-25
"HWER_02508",-2.20740639577649,6.83965224214952,116.022824249215,4.69857770041285e-27,2.87596662964805e-25
"HWER_07650",1.78589415052038,7.22745837547286,114.026852595213,1.2855573498315e-26,7.68997032899206e-25
"HWER_00680",2.11134845185862,6.29687856105665,113.315651315705,1.84018952329514e-26,1.07630640562507e-24
"HWER_08638",2.04689975026408,7.0970479902307,111.515762826642,4.56163905644918e-26,2.61005086882049e-24
"HWER_10104",2.7707134733958,8.87586626193261,102.315239714634,4.7353518346765e-24,2.65179702741884e-22
"HWER_08766",1.66163315393524,7.20951984692926,101.261718309743,8.05984888236303e-24,4.41948380382906e-22
"HWER_12680",-2.51675534491121,6.27903271593553,100.78105929694,1.02734036951004e-23,5.51828541336819e-22
"HWER_02906",-2.2999143082111,8.04336053239866,100.355998243593,1.27325554194863e-23,6.70241717281758e-22
"HWER_12900",1.98443059079109,6.38416911475537,99.4564032405772,2.00529432276405e-23,1.03488914853235e-21
"HWER_03002",3.7097869963957,9.40420037283354,98.9786200934602,2.55242508962379e-23,1.29191977613265e-21
"HWER_03980",-2.04445492180529,7.32888435119929,95.7960160700069,1.27351731704903e-22,6.32433505372274e-21
"HWER_05429",2.93469996955108,9.05614371310979,92.4908036111792,6.76383573075632e-22,3.29674363765752e-20
"HWER_07851",-7.11927882391804,7.09268897763484,91.692754297811,1.01234889855952e-21,4.84454963819758e-20
