"","logFC","logCPM","PValue","FDR"
"HWER_07852",6.90133994818909,6.34832448890995,1.60062487529652e-84,4.21284467178044e-81
"HWER_06154",-5.18551377890682,5.85635230452068,2.83457899845053e-80,3.73030596196089e-77
"HWER_13913",4.51863681561196,5.60726266376792,1.93340279148363e-79,1.69623871572831e-76
"HWER_03971",-3.95155602185302,8.71796235423244,8.66701117641254e-63,5.70289335407945e-60
"HWER_09857",-3.55180522724013,7.66844908216465,3.40322959589623e-62,1.79146005927977e-59
"HWER_15617",-4.08631708750752,8.54329672115825,2.51710429093262e-59,1.0531459506951e-56
"HWER_05484",-5.4000746165104,6.26628294050642,2.80092008163589e-59,1.0531459506951e-56
"HWER_08887",-4.15560492823629,7.88098513758865,8.80460061607231e-59,2.89671360268779e-56
"HWER_02905",4.07533054691257,6.52679473867697,3.35264532564552e-58,9.80462499677668e-56
"HWER_12147",-3.4641797283196,6.80902235605664,1.52553690051689e-55,4.01521312216045e-53
"HWER_05039",4.74039857068803,8.80861302385893,3.34151539952201e-52,7.99533502867448e-50
"HWER_03719",4.92380372872812,6.6340912774386,9.11661986935245e-52,1.99957862467797e-49
"HWER_15277",-2.88407669558036,7.37209741785022,3.25199216394856e-50,6.58403336577893e-48
"HWER_13429",9.27012481968776,6.57917913005425,4.2692410313133e-48,8.026173138869e-46
"HWER_03949",-2.47407958975983,7.20820748230289,9.41783123047408e-48,1.65251545324052e-45
"HWER_04805",3.71964414775126,8.78244057155802,1.30631110589676e-44,2.14888176920017e-42
"HWER_03623",-2.42064876566835,7.1982532748151,1.42272395600039e-44,2.20271144246648e-42
"HWER_09462",3.54184349630603,8.57411345550572,4.32394458769003e-44,6.32256786377787e-42
"HWER_08139",4.20973352295653,8.11649360493996,2.22162062268822e-41,3.07752919942916e-39
"HWER_08156",3.56563632039531,7.82062324921376,1.24117475313906e-40,1.633385975131e-38
"HWER_13732",-2.73534931212062,8.54501884165729,1.32173755944151e-39,1.65657774116669e-37
"HWER_07564",4.39944957054794,6.53107267308748,1.65371614985506e-39,1.97844586655387e-37
"HWER_03024",-3.22378534064147,6.23763203972582,7.48489593103108e-38,8.56532438716252e-36
"HWER_11834",-2.93258553581717,6.80527805433767,1.19237558293439e-35,1.30763855595138e-33
"HWER_10176",2.65450620969087,7.28987482023895,1.84620722968247e-35,1.9436869714097e-33
"HWER_03878",-3.06737762210483,8.22639911094722,1.13121691412518e-34,1.14513958383749e-32
"HWER_00308",-2.47416333069169,8.40412016971378,4.0847181142207e-34,3.94311157659291e-32
"HWER_02708",-2.16489199218327,7.45881608736303,4.19479954956693e-34,3.94311157659291e-32
"HWER_08019",2.36001006166547,6.03830676883646,2.97491548154848e-32,2.69999225773641e-30
"HWER_03939",2.06305241201142,7.15644487632832,1.24199681678046e-31,1.08964520725539e-29
"HWER_16005",-2.30342278836521,7.75626282363212,2.84283134958323e-30,2.41365552003324e-28
"HWER_04340",2.56542059876987,6.24751802817758,3.37781295139712e-30,2.77825115252413e-28
"HWER_07346",2.49638449346054,8.87935010541836,6.82214237388199e-30,5.44117537213861e-28
"HWER_00383",-2.06554244155512,7.79559496191973,1.36465627961641e-29,1.05640450822071e-27
"HWER_03917",-2.26407982208915,7.69106951792703,1.1420867599297e-28,8.58849243467133e-27
"HWER_10140",2.55869928125092,7.39374125443221,1.3156205290632e-28,9.61864786803983e-27
"HWER_06798",2.34903089491114,6.08838827711659,1.958340732059e-28,1.39306832615656e-26
"HWER_14473",-2.44514215722343,6.26299073303765,3.27152616868204e-28,2.26596233578188e-26
"HWER_11608",-2.45155525028205,8.33520713975938,4.22173712633996e-28,2.84913131192994e-26
"HWER_13042",-2.11912934595617,6.37527848234266,4.37467126358579e-28,2.87853369143945e-26
"HWER_11128",-2.15590848712537,5.99680182775913,8.3137810601609e-28,5.26857824521462e-26
"HWER_05346",-2.14549214402858,7.05714249169288,8.40730571044885e-28,5.26857824521462e-26
"HWER_00680",-2.11134162296247,6.29672184736478,1.78593832815503e-27,1.07459760210304e-25
"HWER_02508",2.20740135245284,6.83922803208791,1.79643976035463e-27,1.07459760210304e-25
"HWER_07650",-1.78589058897114,7.2274769528956,9.73779127366022e-27,5.69552591828304e-25
"HWER_10104",-2.7707119499664,8.87576706401401,3.11826852077011e-24,1.78419190144933e-22
"HWER_12900",-1.98441664082348,6.38474040417466,4.18900913111423e-24,2.34584511342397e-22
