"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005515",1.33316479103683e-06,0.0968181662499572,17.2059739361089,2,1507,"protein binding"
"2","GO:0016462",0.0150184738976541,0,4.08741782954676,0,358,"pyrophosphatase activity"
"3","GO:0017111",0.0181881947475416,0,3.90473993772345,0,342,"nucleoside-triphosphatase activity"
"4","GO:0008270",0.0289596863800617,0.339254840940526,8.2890093414831,3,726,"zinc ion binding"
"5","GO:0003723",0.037173113570756,0,3.219697843386,0,282,"RNA binding"
"6","GO:0016772",0.0405438099700052,0.295557235859322,6.40514358205513,2,561,"transferase activity, transferring phosphorus-containing groups"
