"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005622",0.000118467982818414,0.179419191919192,14.4848219497957,5,1985,"intracellular"
"2","GO:0005623",0.000376355869024318,0.216157034488152,14.776707530648,6,2025,"cell"
"3","GO:0044464",0.000376355869024318,0.216157034488152,14.776707530648,6,2025,"cell part"
"4","GO:0044424",0.000521807452682161,0.210840108401084,13.4997081144191,5,1850,"intracellular part"
"5","GO:0032991",0.0042151526405006,0.113545089448704,6.66958552247519,1,914,"macromolecular complex"
"6","GO:0044446",0.00783039209094578,0,4.3928779918272,0,602,"intracellular organelle part"
"7","GO:0044422",0.00783039209094578,0,4.3928779918272,0,602,"organelle part"
"8","GO:0043226",0.0080213033149553,0.277256317689531,10.1357267950963,4,1389,"organelle"
"9","GO:0043229",0.0080213033149553,0.277256317689531,10.1357267950963,4,1389,"intracellular organelle"
"10","GO:0043228",0.0342559416413159,0,3.1450671336836,0,431,"non-membrane-bounded organelle"
"11","GO:0043232",0.0342559416413159,0,3.1450671336836,0,431,"intracellular non-membrane-bounded organelle"
"12","GO:0043234",0.0422573260449183,0.185430021367521,4.56071220081728,1,625,"protein complex"
