"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006112",5.70003704943069e-07,217.079365079365,0.0932701965848759,4,5,"energy reserve metabolic process"
"2","GO:0005977",5.70003704943069e-07,217.079365079365,0.0932701965848759,4,5,"glycogen metabolic process"
"3","GO:0005978",6.34480991003459e-06,Inf,0.0559621179509255,3,3,"glycogen biosynthetic process"
"4","GO:0044699",1.0477293057703e-05,2.25748812926165,68.9453293155402,93,3696,"single-organism process"
"5","GO:0044042",3.44747359448305e-05,30.984126984127,0.205194432486727,4,11,"glucan metabolic process"
"6","GO:0006073",3.44747359448305e-05,30.984126984127,0.205194432486727,4,11,"cellular glucan metabolic process"
"7","GO:0055114",3.96945663744094e-05,2.33671583725077,19.2509685751184,37,1032,"oxidation-reduction process"
"8","GO:0044264",7.25568641772939e-05,24.0917107583774,0.242502511120677,4,13,"cellular polysaccharide metabolic process"
"9","GO:0000271",0.000210183539415283,40.3641732283465,0.130578275218826,3,7,"polysaccharide biosynthetic process"
"10","GO:0033692",0.000210183539415283,40.3641732283465,0.130578275218826,3,7,"cellular polysaccharide biosynthetic process"
"11","GO:0009250",0.000210183539415283,40.3641732283465,0.130578275218826,3,7,"glucan biosynthetic process"
"12","GO:0044262",0.000339665559464297,7.30537634408602,0.951356005165734,6,51,"cellular carbohydrate metabolic process"
"13","GO:0005993",0.000345346020650086,Inf,0.0373080786339504,2,2,"trehalose catabolic process"
"14","GO:0046352",0.000345346020650086,Inf,0.0373080786339504,2,2,"disaccharide catabolic process"
"15","GO:0009313",0.000345346020650086,Inf,0.0373080786339504,2,2,"oligosaccharide catabolic process"
"16","GO:0044275",0.000691588387617511,23.0551181102362,0.186540393169752,3,10,"cellular carbohydrate catabolic process"
"17","GO:0006811",0.000702303748715175,2.85298822160826,5.85736834553021,15,314,"ion transport"
"18","GO:0016051",0.000777474515372391,11.3951545530493,0.429042904290429,4,23,"carbohydrate biosynthetic process"
"19","GO:0042886",0.00102334844213019,106.84375,0.0559621179509255,2,3,"amide transport"
"20","GO:0006857",0.00102334844213019,106.84375,0.0559621179509255,2,3,"oligopeptide transport"
"21","GO:0015833",0.00102334844213019,106.84375,0.0559621179509255,2,3,"peptide transport"
"22","GO:0015980",0.00114011195595116,7.15894736842105,0.802123690629933,5,43,"energy derivation by oxidation of organic compounds"
"23","GO:0050794",0.0012095245256624,2.08746771176628,14.7366910604104,27,790,"regulation of cellular process"
"24","GO:0044710",0.00142308916317735,1.74521455139254,40.4979193571531,57,2171,"single-organism metabolic process"
"25","GO:0050789",0.0014603385993028,2.05707180446878,14.9232314535801,27,800,"regulation of biological process"
"26","GO:0005976",0.00167267244771799,9.01455026455026,0.522313100875305,4,28,"polysaccharide metabolic process"
"27","GO:0044723",0.00179032894303368,3.55909090909091,2.7794518582293,9,149,"single-organism carbohydrate metabolic process"
"28","GO:0006812",0.00196136290383704,3.2495126705653,3.37638111637251,10,181,"cation transport"
"29","GO:0009395",0.00202166466910714,53.4140625,0.0746161572679007,2,4,"phospholipid catabolic process"
"30","GO:0006836",0.00202166466910714,53.4140625,0.0746161572679007,2,4,"neurotransmitter transport"
"31","GO:0034637",0.00244908779025441,13.4389763779528,0.279810589754628,3,15,"cellular carbohydrate biosynthetic process"
"32","GO:0006897",0.00244908779025441,13.4389763779528,0.279810589754628,3,15,"endocytosis"
"33","GO:0065007",0.00263588146940888,1.96211664940133,15.5388147510403,27,833,"biological regulation"
"34","GO:0051174",0.00277345286461338,7.72222222222222,0.596929258143206,4,32,"regulation of phosphorus metabolic process"
"35","GO:0031399",0.00277345286461338,7.72222222222222,0.596929258143206,4,32,"regulation of protein modification process"
"36","GO:0019220",0.00277345286461338,7.72222222222222,0.596929258143206,4,32,"regulation of phosphate metabolic process"
"37","GO:0006470",0.0031109933351285,7.45484400656814,0.615583297460181,4,33,"protein dephosphorylation"
"38","GO:0042435",0.00332829076029477,35.6041666666667,0.0932701965848759,2,5,"indole-containing compound biosynthetic process"
"39","GO:0000162",0.00332829076029477,35.6041666666667,0.0932701965848759,2,5,"tryptophan biosynthetic process"
"40","GO:0046219",0.00332829076029477,35.6041666666667,0.0932701965848759,2,5,"indolalkylamine biosynthetic process"
"41","GO:0006979",0.0038681070510473,6.97183819764465,0.652891376094131,4,35,"response to oxidative stress"
"42","GO:0046434",0.00421638271318203,10.7464566929134,0.335772707705553,3,18,"organophosphate catabolic process"
"43","GO:0006835",0.00493155324582008,26.69921875,0.111924235901851,2,6,"dicarboxylic acid transport"
"44","GO:0006000",0.00493155324582008,26.69921875,0.111924235901851,2,6,"fructose metabolic process"
"45","GO:0006003",0.00493155324582008,26.69921875,0.111924235901851,2,6,"fructose 2,6-bisphosphate metabolic process"
"46","GO:0000079",0.0057326013761131,9.47938860583604,0.373080786339504,3,20,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"47","GO:1904029",0.0057326013761131,9.47938860583604,0.373080786339504,3,20,"regulation of cyclin-dependent protein kinase activity"
"48","GO:0071900",0.0057326013761131,9.47938860583604,0.373080786339504,3,20,"regulation of protein serine/threonine kinase activity"
"49","GO:0050790",0.00628491047633508,5.99911816578483,0.746161572679007,4,40,"regulation of catalytic activity"
"50","GO:0065009",0.00748054283284145,5.68170426065163,0.783469651312957,4,42,"regulation of molecular function"
"51","GO:0045859",0.00753677295420928,8.4790716949855,0.410388864973454,3,22,"regulation of protein kinase activity"
"52","GO:0006091",0.00801761740891871,4.37225806451613,1.24982063423734,5,67,"generation of precursor metabolites and energy"
"53","GO:0060255",0.00806099133697246,2.05744616202666,9.00990099009901,17,483,"regulation of macromolecule metabolic process"
"54","GO:0031323",0.00806099133697246,2.05744616202666,9.00990099009901,17,483,"regulation of cellular metabolic process"
"55","GO:0080090",0.00822273869130764,2.05271834909325,9.02855502941599,17,484,"regulation of primary metabolic process"
"56","GO:0043549",0.00964082041763246,7.66929133858268,0.447696943607404,3,24,"regulation of kinase activity"
"57","GO:0032268",0.010301103207828,5.13756613756614,0.858085808580858,4,46,"regulation of cellular protein metabolic process"
