"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0044464",0.000146275111795906,0.180041688379364,14.1856392294221,5,2025,"cell part"
"2","GO:0005623",0.000146275111795906,0.180041688379364,14.1856392294221,5,2025,"cell"
"3","GO:0044424",0.000183801429166822,0.168580715059588,12.9597197898424,4,1850,"intracellular part"
"4","GO:0005622",0.000228876173755924,0.188995215311005,13.9054290718039,5,1985,"intracellular"
"5","GO:0032991",0.000444672421649435,0,6.57793345008757,0,939,"macromolecular complex"
"6","GO:0005737",0.000910206829373254,0,6.05253940455342,0,864,"cytoplasm"
"7","GO:0043234",0.00686391140049568,0,4.48336252189142,0,640,"protein complex"
"8","GO:0044444",0.00794770494562018,0,4.36427320490368,0,623,"cytoplasmic part"
"9","GO:0044422",0.00951392639049913,0,4.21716287215412,0,602,"organelle part"
"10","GO:0044446",0.00951392639049913,0,4.21716287215412,0,602,"intracellular organelle part"
"11","GO:0043226",0.0115237329421723,0.291263537906137,9.73029772329247,4,1389,"organelle"
"12","GO:0043229",0.0115237329421723,0.291263537906137,9.73029772329247,4,1389,"intracellular organelle"
"13","GO:0043228",0.0392254168508101,0,3.01926444833625,0,431,"non-membrane-bounded organelle"
"14","GO:0043232",0.0392254168508101,0,3.01926444833625,0,431,"intracellular non-membrane-bounded organelle"
