GENE	TREATMENT	SAMPLE	COUNT5PRIME	COUNT3PRIME
HWER_00001	Salt0	Salt0_1	0.08320091	5.04771409
HWER_00001	Salt0	Salt0_2	0.01670369	7.02091371
HWER_00001	Salt10	Salt10_1	9.79023617	42.48634902
HWER_00001	Salt10	Salt10_2	7.07804522	43.51699205
HWER_00001	Salt20	Salt20_1	5.73834930	26.77494453
HWER_00001	Salt20	Salt20_2	6.10867980	33.57091210
HWER_00002	Salt0	Salt0_1	171.48608493	927.60208971
HWER_00002	Salt0	Salt0_2	242.09378408	923.35381369
HWER_00002	Salt10	Salt10_1	1769.55954796	1350.08410429
HWER_00002	Salt10	Salt10_2	1212.52661064	1221.24661247
HWER_00002	Salt20	Salt20_1	1391.72740034	1251.47439117
HWER_00002	Salt20	Salt20_2	1391.50660264	1476.02109950
HWER_00003	Salt0	Salt0_1	0.47782680	18.43804696
HWER_00003	Salt0	Salt0_2	0.21431196	13.27799992
HWER_00003	Salt10	Salt10_1	11.11008667	12.04159825
HWER_00003	Salt10	Salt10_2	10.15329768	15.96472663
HWER_00003	Salt20	Salt20_1	8.87186578	12.37998378
HWER_00003	Salt20	Salt20_2	8.20441813	15.72341900
HWER_00004	Salt0	Salt0_1	0.11066931	8.86935488
HWER_00004	Salt0	Salt0_2	0.17457269	12.53749345
HWER_00004	Salt10	Salt10_1	10.82514876	21.22015915
HWER_00004	Salt10	Salt10_2	7.89466389	27.20997921
HWER_00004	Salt20	Salt20_1	8.08289367	21.02789288
HWER_00004	Salt20	Salt20_2	6.30506881	22.05227205
HWER_00005	Salt0	Salt0_1	3.77871959	1.81989536
HWER_00005	Salt0	Salt0_2	2.03995956	1.74973457
HWER_00005	Salt10	Salt10_1	0.76123828	29.14422742
HWER_00005	Salt10	Salt10_2	1.28892332	26.62522663
HWER_00005	Salt20	Salt20_1	3.54327708	24.50841810
HWER_00005	Salt20	Salt20_2	4.00667626	26.29777630
