"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0003824",1.48949393363212e-05,0.622937836376721,184.824870466321,147,4806,"catalytic activity"
"2","GO:0016788",0.000153673463839742,0,8.49902130109384,0,221,"hydrolase activity, acting on ester bonds"
"3","GO:0016787",0.00146488176126338,0.625813865986127,67.0691997697179,46,1744,"hydrolase activity"
"4","GO:0004518",0.00840523308399172,0,4.65331030512378,0,121,"nuclease activity"
"5","GO:0008233",0.00887934919923475,0.286596015861027,9.96039147956246,3,259,"peptidase activity"
"6","GO:0042578",0.0193592467541314,0,3.84571099597006,0,100,"phosphoric ester hydrolase activity"
"7","GO:0016791",0.0193592467541314,0,3.84571099597006,0,100,"phosphatase activity"
"8","GO:0016887",0.020693973005268,0.261567546782876,7.30685089234312,2,190,"ATPase activity"
"9","GO:0016829",0.0483387757884495,0.426078971533517,9.03742084052965,4,235,"lyase activity"
