"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0043234",0.0128213917173631,0.550454921422663,26.1529480443666,16,640,"protein complex"
"2","GO:0098588",0.0268043807719829,0.176063800122693,5.31231757151197,1,130,"bounding membrane of organelle"
"3","GO:0032991",0.0403415654949545,0.682150282150282,38.3712784588441,29,939,"macromolecular complex"
"4","GO:0005840",0.0478927068020158,0.420109439124487,8.9492119089317,4,219,"ribosome"
"5","GO:0031090",0.0489062829320316,0.373465950108286,7.55983654407472,3,185,"organelle membrane"
