"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0016020",0.000107250133976448,1.47786349276321,187.975630019385,224,1620,"membrane"
"2","GO:0031988",0.000727598886202217,5.62884317628843,2.20465245084464,8,19,"membrane-bounded vesicle"
"3","GO:0031982",0.000727598886202217,5.62884317628843,2.20465245084464,8,19,"vesicle"
"4","GO:0031410",0.000727598886202217,5.62884317628843,2.20465245084464,8,19,"cytoplasmic vesicle"
"5","GO:0016023",0.000727598886202217,5.62884317628843,2.20465245084464,8,19,"cytoplasmic membrane-bounded vesicle"
"6","GO:0005794",0.00292247707869925,3.16040305010893,4.40930490168928,11,38,"Golgi apparatus"
"7","GO:0012505",0.0355668488343475,1.53591911217042,19.0296316809748,27,164,"endomembrane system"
