"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005975",7.14170645340825e-06,1.62128912589845,88.8070125427594,127,602,"carbohydrate metabolic process"
"2","GO:0023052",0.00126213386816644,1.65647126197418,37.0275085518814,55,251,"signaling"
"3","GO:0007049",0.00321171406434272,2.72001305909239,6.4908779931585,14,44,"cell cycle"
"4","GO:0016311",0.00353002193960307,2.57223183391003,7.22847776510832,15,49,"dephosphorylation"
"5","GO:0006470",0.00353002193960307,2.57223183391003,7.22847776510832,15,49,"protein dephosphorylation"
"6","GO:0051726",0.0083105244980915,2.5867274899533,5.75327822120867,12,39,"regulation of cell cycle"
"7","GO:0050789",0.0160710567950169,1.71694816540478,16.2271949828962,25,110,"regulation of biological process"
"8","GO:0065007",0.0188891939584779,1.66784652413988,17.259834663626,26,117,"biological regulation"
"9","GO:0006793",0.0206726136682746,1.37620192307692,46.6163055872292,60,316,"phosphorus metabolic process"
"10","GO:0006796",0.0206726136682746,1.37620192307692,46.6163055872292,60,316,"phosphate-containing compound metabolic process"
"11","GO:0050794",0.0291830932026926,1.66520942039205,14.6044754846066,22,99,"regulation of cellular process"
