"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005737",1.16984497761516e-17,2.49217117873834,111.253392412074,188,881,"cytoplasm"
"2","GO:0044444",8.02441942759166e-14,2.51518597805727,66.5499861534201,123,527,"cytoplasmic part"
"3","GO:0044464",5.03025200792292e-13,2.08465889677689,225.790085848795,297,1788,"cell part"
"4","GO:0005623",5.03025200792292e-13,2.08465889677689,225.790085848795,297,1788,"cell"
"5","GO:0044424",9.97671030794397e-13,2.05797952047952,220.612572694544,291,1747,"intracellular part"
"6","GO:0005622",9.97671030794397e-13,2.05797952047952,220.612572694544,291,1747,"intracellular"
"7","GO:0043232",9.07558259340289e-10,2.25134793801914,56.1949598449183,99,445,"intracellular non-membrane-bounded organelle"
"8","GO:0043228",9.07558259340289e-10,2.25134793801914,56.1949598449183,99,445,"non-membrane-bounded organelle"
"9","GO:0032991",9.40355797609708e-10,2.85496474175719,27.6554970922182,60,219,"macromolecular complex"
"10","GO:0030529",9.40355797609708e-10,2.85496474175719,27.6554970922182,60,219,"ribonucleoprotein complex"
"11","GO:0005840",9.40355797609708e-10,2.85496474175719,27.6554970922182,60,219,"ribosome"
"12","GO:0043229",9.57180372757352e-08,1.69995313525166,177.298255330933,229,1404,"intracellular organelle"
"13","GO:0043226",9.57180372757352e-08,1.69995313525166,177.298255330933,229,1404,"organelle"
"14","GO:0044446",1.18646466416628e-05,2.65681639085894,15.5325394627527,33,123,"intracellular organelle part"
"15","GO:0044422",1.18646466416628e-05,2.65681639085894,15.5325394627527,33,123,"organelle part"
"16","GO:0005739",1.58702755906018e-05,2.56728870458136,16.4165051232346,34,130,"mitochondrion"
"17","GO:0044429",0.000100365255978633,2.83630644262165,10.2287454998615,23,81,"mitochondrial part"
"18","GO:0031975",0.000100365255978633,2.83630644262165,10.2287454998615,23,81,"envelope"
"19","GO:0031967",0.000100365255978633,2.83630644262165,10.2287454998615,23,81,"organelle envelope"
"20","GO:0005740",0.000100365255978633,2.83630644262165,10.2287454998615,23,81,"mitochondrial envelope"
"21","GO:0005783",0.000142867704312827,2.68315972222222,11.1127111603434,24,88,"endoplasmic reticulum"
"22","GO:0012505",0.00674890597564764,1.7284162378502,20.7100526170036,32,164,"endomembrane system"
"23","GO:0044430",0.0298265470908272,6.95805739514349,0.757684851841595,3,6,"cytoskeletal part"
"24","GO:0015630",0.0298265470908272,6.95805739514349,0.757684851841595,3,6,"microtubule cytoskeleton"
"25","GO:0005815",0.0298265470908272,6.95805739514349,0.757684851841595,3,6,"microtubule organizing center"
"26","GO:0005694",0.0349781050856313,1.64406130268199,14.0171697590695,21,111,"chromosome"
