"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005739",0.00279877028102802,1.86101636454221,20.5566325117696,33,130,"mitochondrion"
"2","GO:0044424",0.0211600916679006,1.2085838479038,276.249515369704,299,1747,"intracellular part"
"3","GO:0005622",0.0211600916679006,1.2085838479038,276.249515369704,299,1747,"intracellular"
"4","GO:0005737",0.0276826432758863,1.22601214337623,139.310717252839,158,881,"cytoplasm"
"5","GO:0005856",0.0289969553534489,1.65924574209246,15.4965383550263,23,98,"cytoskeleton"
