"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0032991",0.00177771626819148,0.354793182064922,18.4080560420315,8,914,"macromolecular complex"
"2","GO:0005737",0.00395991005086527,0.383177570093458,17.4010507880911,8,864,"cytoplasm"
"3","GO:0005623",0.0209717130704393,0.591909521161905,40.7837127845884,32,2025,"cell"
"4","GO:0044464",0.0209717130704393,0.591909521161905,40.7837127845884,32,2025,"cell part"
"5","GO:0043234",0.0210099949943334,0.421263174090315,12.5875656742557,6,625,"protein complex"
"6","GO:0005622",0.0334287854165763,0.621746170133267,39.9781085814361,32,1985,"intracellular"
