"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0016020",2.21105353356245e-06,1.83410209619749,130.844133099825,167,1698,"membrane"
"2","GO:0031224",1.18979907265985e-05,1.76573011476059,80.3712784588441,112,1043,"intrinsic component of membrane"
"3","GO:0016021",1.18979907265985e-05,1.76573011476059,80.3712784588441,112,1043,"integral component of membrane"
"4","GO:0044425",8.18608408094307e-05,1.64735823356513,92.0070052539404,121,1194,"membrane part"
"5","GO:0071944",0.00403140044522458,3.07283464566929,3.85288966725044,10,50,"cell periphery"
"6","GO:0005886",0.00563112891164574,5.53001053001053,1.23292469352014,5,16,"plasma membrane"
"7","GO:0005673",0.00591713858386491,Inf,0.154115586690018,2,2,"transcription factor TFIIE complex"
"8","GO:0045240",0.00591713858386491,Inf,0.154115586690018,2,2,"dihydrolipoyl dehydrogenase complex"
"9","GO:0034702",0.00591713858386491,Inf,0.154115586690018,2,2,"ion channel complex"
"10","GO:0034703",0.00591713858386491,Inf,0.154115586690018,2,2,"cation channel complex"
"11","GO:0034704",0.00591713858386491,Inf,0.154115586690018,2,2,"calcium channel complex"
"12","GO:0005891",0.00591713858386491,Inf,0.154115586690018,2,2,"voltage-gated calcium channel complex"
"13","GO:0045252",0.00591713858386491,Inf,0.154115586690018,2,2,"oxoglutarate dehydrogenase complex"
"14","GO:0005576",0.0131680291618081,2.875,3.23642732049037,8,42,"extracellular region"
"15","GO:0005664",0.016845872346821,24.1297709923664,0.231173380035026,2,3,"nuclear origin of replication recognition complex"
"16","GO:1902494",0.0260496633493787,1.76306620209059,11.0963222416813,18,144,"catalytic complex"
"17","GO:0016591",0.0299350440081971,4.03846153846154,1.23292469352014,4,16,"DNA-directed RNA polymerase II, holoenzyme"
"18","GO:0045239",0.0319842279229403,12.0610687022901,0.308231173380035,2,4,"tricarboxylic acid cycle enzyme complex"
"19","GO:0008250",0.0319842279229403,12.0610687022901,0.308231173380035,2,4,"oligosaccharyltransferase complex"
"20","GO:0030312",0.0368429919039009,3.72662721893491,1.30998248686515,4,17,"external encapsulating structure"
"21","GO:0090575",0.0368429919039009,3.72662721893491,1.30998248686515,4,17,"RNA polymerase II transcription factor complex"
"22","GO:0005618",0.0368429919039009,3.72662721893491,1.30998248686515,4,17,"cell wall"
"23","GO:1990234",0.038368126433361,1.90785405071119,6.85814360770578,12,89,"transferase complex"
"24","GO:0000428",0.0445914555233266,3.45934065934066,1.38704028021016,4,18,"DNA-directed RNA polymerase complex"
"25","GO:0030880",0.0445914555233266,3.45934065934066,1.38704028021016,4,18,"RNA polymerase complex"
"26","GO:0055029",0.0445914555233266,3.45934065934066,1.38704028021016,4,18,"nuclear DNA-directed RNA polymerase complex"
