"","logFC","logCPM","PValue","FDR"
"HWER_07852",6.90133994818909,6.34832448890995,1.60062487529652e-84,4.21284467178044e-81
"HWER_06154",-5.18551377890682,5.85635230452068,2.83457899844764e-80,3.7303059619571e-77
"HWER_13913",4.51863681561196,5.60726266376792,1.93340279148363e-79,1.69623871572831e-76
"HWER_03971",-3.95155602185302,8.71796235423244,8.66701117856742e-63,5.70289335549736e-60
"HWER_09857",-3.55180522724013,7.66844908216465,3.40322959589623e-62,1.79146005927977e-59
"HWER_15617",-4.08631708750752,8.54329672115825,2.51710429093262e-59,1.0531459506951e-56
"HWER_05484",-5.4000746165104,6.26628294050642,2.80092008163589e-59,1.0531459506951e-56
"HWER_08887",-4.15560492823629,7.88098513758865,8.80460061607231e-59,2.89671360268779e-56
"HWER_02905",4.07533054691257,6.52679473867697,3.35264532564552e-58,9.80462499677668e-56
"HWER_12147",-3.4641797283196,6.80902235605664,1.52553690051689e-55,4.01521312216045e-53
"HWER_05039",4.74039857068803,8.80861302385893,3.34151539951848e-52,7.99533502866603e-50
"HWER_03719",4.92380372872812,6.6340912774386,9.11661986935245e-52,1.99957862467797e-49
"HWER_15277",-2.88407669558036,7.37209741785022,3.25199216394856e-50,6.58403336577893e-48
"HWER_13429",9.27012481968776,6.57917913005425,4.26924103130238e-48,8.02617313884848e-46
"HWER_03949",-2.47407958975983,7.20820748230289,9.41783123047811e-48,1.65251545324123e-45
"HWER_04805",3.71964414775126,8.78244057155802,1.30631110589676e-44,2.14888176920017e-42
"HWER_03623",-2.42064876566835,7.1982532748151,1.42272395600039e-44,2.20271144246648e-42
"HWER_09462",3.54184349630603,8.57411345550572,4.32394458769003e-44,6.32256786377787e-42
"HWER_08139",4.20973352295653,8.11649360493996,2.22162062268222e-41,3.07752919942085e-39
"HWER_08156",3.56563632039531,7.82062324921376,1.24117475309234e-40,1.63338597506952e-38
"HWER_13732",-2.73534931212062,8.54501884165729,1.32173755944151e-39,1.65657774116669e-37
"HWER_07564",4.39944957054794,6.53107267308748,1.65371614985506e-39,1.97844586655387e-37
"HWER_03024",-3.22378534064147,6.23763203972582,7.48489593103108e-38,8.56532438716252e-36
"HWER_11834",-2.93258553581717,6.80527805433767,1.19237558293439e-35,1.30763855595138e-33
