"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0044438",0.000465061760462336,13.7107692307692,0.382661996497373,4,19,"microbody part"
"2","GO:0044439",0.000465061760462336,13.7107692307692,0.382661996497373,4,19,"peroxisomal part"
"3","GO:0031903",0.000465061760462336,13.7107692307692,0.382661996497373,4,19,"microbody membrane"
"4","GO:0005778",0.000465061760462336,13.7107692307692,0.382661996497373,4,19,"peroxisomal membrane"
"5","GO:0005777",0.00186477019727975,8.92040133779264,0.543782837127846,4,27,"peroxisome"
"6","GO:0042579",0.00186477019727975,8.92040133779264,0.543782837127846,4,27,"microbody"
"7","GO:0098805",0.0133374698517053,3.89559659090909,1.42994746059545,5,71,"whole membrane"
"8","GO:0005779",0.0195545367252335,11.1044776119403,0.2215411558669,2,11,"integral component of peroxisomal membrane"
"9","GO:0031231",0.0195545367252335,11.1044776119403,0.2215411558669,2,11,"intrinsic component of peroxisomal membrane"
"10","GO:0000346",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"transcription export complex"
"11","GO:0000347",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"THO complex"
"12","GO:0005655",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"nucleolar ribonuclease P complex"
"13","GO:0005673",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"transcription factor TFIIE complex"
"14","GO:0019028",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"viral capsid"
"15","GO:0019012",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"virion"
"16","GO:0000445",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"THO complex part of transcription export complex"
"17","GO:0030681",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"multimeric ribonuclease P complex"
"18","GO:0030677",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"ribonuclease P complex"
"19","GO:0000172",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"ribonuclease MRP complex"
"20","GO:0044423",0.0398803482173674,49.3529411764706,0.0402802101576182,1,2,"virion part"
