"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0044424",0.00175343170705527,0.141279847182426,8.22459152589311,2,1747,"intracellular part"
"2","GO:0005622",0.00175343170705527,0.141279847182426,8.22459152589311,2,1747,"intracellular"
"3","GO:0044464",0.00699331428616988,0.217166866746699,8.41761284962614,3,1788,"cell part"
"4","GO:0005623",0.00699331428616988,0.217166866746699,8.41761284962614,3,1788,"cell"
"5","GO:0005737",0.0085074707761573,0,4.14760454167821,0,881,"cytoplasm"
"6","GO:0043229",0.0153089864665748,0.208464098906324,6.60980337856549,2,1404,"intracellular organelle"
"7","GO:0043226",0.0153089864665748,0.208464098906324,6.60980337856549,2,1404,"organelle"
