"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0043170",0.00246291728835569,0.268250518620962,12.4464082098062,4,1532,"macromolecule metabolic process"
"2","GO:0044260",0.00265012880623768,0.270514828349119,12.365165336374,4,1522,"cellular macromolecule metabolic process"
"3","GO:0044237",0.00337769386810143,0.370646002762007,17.3534777651083,8,2136,"cellular metabolic process"
"4","GO:0010467",0.00558020171572179,0,4.93956670467503,0,608,"gene expression"
"5","GO:0016070",0.00691189690935612,0,4.74458380843786,0,584,"RNA metabolic process"
"6","GO:0034641",0.0150073434857609,0.296870252202978,8.93671607753706,3,1100,"cellular nitrogen compound metabolic process"
"7","GO:0006139",0.0213842982570623,0.314761600681141,8.50612884834664,3,1047,"nucleobase-containing compound metabolic process"
"8","GO:1901360",0.0213842982570623,0.314761600681141,8.50612884834664,3,1047,"organic cyclic compound metabolic process"
"9","GO:0046483",0.0213842982570623,0.314761600681141,8.50612884834664,3,1047,"heterocycle metabolic process"
"10","GO:0006725",0.0213842982570623,0.314761600681141,8.50612884834664,3,1047,"cellular aromatic compound metabolic process"
"11","GO:0090304",0.0262471892235111,0.265610761553482,6.82440136830103,2,840,"nucleic acid metabolic process"
"12","GO:0044271",0.0274895633753608,0,3.46907069555302,0,427,"cellular nitrogen compound biosynthetic process"
"13","GO:0019538",0.0397299889111639,0.289317889317889,6.32881984036488,2,779,"protein metabolic process"
"14","GO:0044267",0.0424684938091064,0.293564063055588,6.24757696693273,2,769,"cellular protein metabolic process"
"15","GO:0044249",0.0497549165087484,0.202867292565339,4.58209806157355,1,564,"cellular biosynthetic process"
"16","GO:0034645",0.0497549165087484,0.202867292565339,4.58209806157355,1,564,"cellular macromolecule biosynthetic process"
"17","GO:0009058",0.0497549165087484,0.202867292565339,4.58209806157355,1,564,"biosynthetic process"
"18","GO:0009059",0.0497549165087484,0.202867292565339,4.58209806157355,1,564,"macromolecule biosynthetic process"
"19","GO:1901576",0.0497549165087484,0.202867292565339,4.58209806157355,1,564,"organic substance biosynthetic process"
