"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0012505",4.92961407601011e-08,3.62823943123614,10.9299474605954,31,158,"endomembrane system"
"2","GO:0005737",1.29127613827405e-07,2.10534991483361,59.768826619965,95,864,"cytoplasm"
"3","GO:0030659",6.57228881075868e-06,12.3435225618632,1.17600700525394,8,17,"cytoplasmic vesicle membrane"
"4","GO:0012506",6.57228881075868e-06,12.3435225618632,1.17600700525394,8,17,"vesicle membrane"
"5","GO:0044433",6.57228881075868e-06,12.3435225618632,1.17600700525394,8,17,"cytoplasmic vesicle part"
"6","GO:0030120",6.57228881075868e-06,12.3435225618632,1.17600700525394,8,17,"vesicle coat"
"7","GO:0030662",6.57228881075868e-06,12.3435225618632,1.17600700525394,8,17,"coated vesicle membrane"
"8","GO:0005783",1.05901584230632e-05,3.88916562889166,5.81085814360771,18,84,"endoplasmic reticulum"
"9","GO:0031410",1.80848687050615e-05,10.0928940055578,1.31436077057793,8,19,"cytoplasmic vesicle"
"10","GO:0030135",1.80848687050615e-05,10.0928940055578,1.31436077057793,8,19,"coated vesicle"
"11","GO:0016023",1.80848687050615e-05,10.0928940055578,1.31436077057793,8,19,"cytoplasmic membrane-bounded vesicle"
"12","GO:0031982",1.80848687050615e-05,10.0928940055578,1.31436077057793,8,19,"vesicle"
"13","GO:0031988",1.80848687050615e-05,10.0928940055578,1.31436077057793,8,19,"membrane-bounded vesicle"
"14","GO:0048475",2.03106271898415e-05,5.43311827956989,2.97460595446585,12,43,"coated membrane"
"15","GO:0030117",2.03106271898415e-05,5.43311827956989,2.97460595446585,12,43,"membrane coat"
"16","GO:0005798",3.54310312113827e-05,16.5402597402597,0.760945709281961,6,11,"Golgi-associated vesicle"
"17","GO:0030660",3.54310312113827e-05,16.5402597402597,0.760945709281961,6,11,"Golgi-associated vesicle membrane"
"18","GO:0000139",0.000170258100914106,8.05760869565217,1.31436077057793,7,19,"Golgi membrane"
"19","GO:0019773",0.000496900903588323,11.4331896551724,0.760945709281961,5,11,"proteasome core complex, alpha-subunit complex"
"20","GO:0000502",0.000860427084354133,4.30127041742287,2.62872154115587,9,38,"proteasome complex"
"21","GO:0044431",0.00113373639998594,5.36159420289855,1.72942206654991,7,25,"Golgi apparatus part"
"22","GO:1903293",0.00124150585693084,40.8717948717949,0.276707530647986,3,4,"phosphatase complex"
"23","GO:0000159",0.00124150585693084,40.8717948717949,0.276707530647986,3,4,"protein phosphatase type 2A complex"
"24","GO:0008287",0.00124150585693084,40.8717948717949,0.276707530647986,3,4,"protein serine/threonine phosphatase complex"
"25","GO:0030126",0.00125221890135881,13.6695278969957,0.553415061295972,4,8,"COPI vesicle coat"
"26","GO:0030137",0.00125221890135881,13.6695278969957,0.553415061295972,4,8,"COPI-coated vesicle"
"27","GO:0030663",0.00125221890135881,13.6695278969957,0.553415061295972,4,8,"COPI-coated vesicle membrane"
"28","GO:0030658",0.00213230115750941,10.9321888412017,0.622591943957968,4,9,"transport vesicle membrane"
"29","GO:0030133",0.00213230115750941,10.9321888412017,0.622591943957968,4,9,"transport vesicle"
"30","GO:0005794",0.0025821595100967,3.94385527136619,2.49036777583187,8,36,"Golgi apparatus"
"31","GO:0031332",0.00476664067393611,Inf,0.138353765323993,2,2,"RNAi effector complex"
"32","GO:0005952",0.00476664067393611,Inf,0.138353765323993,2,2,"cAMP-dependent protein kinase complex"
"33","GO:0016442",0.00476664067393611,Inf,0.138353765323993,2,2,"RISC complex"
"34","GO:0098588",0.00733314956250358,2.10345937248592,8.99299474605954,17,130,"bounding membrane of organelle"
"35","GO:0030904",0.00928673052401572,10.2083333333333,0.484238178633976,3,7,"retromer complex"
"36","GO:0030665",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"clathrin-coated vesicle membrane"
"37","GO:0012510",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"trans-Golgi network transport vesicle membrane"
"38","GO:0005905",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"coated pit"
"39","GO:0030125",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"clathrin vesicle coat"
"40","GO:0030140",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"trans-Golgi network transport vesicle"
"41","GO:0030130",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"clathrin coat of trans-Golgi network vesicle"
"42","GO:0030132",0.0136456226302342,27.131914893617,0.207530647985989,2,3,"clathrin coat of coated pit"
"43","GO:0044424",0.0176676646595806,1.34598948682071,127.977232924694,144,1850,"intracellular part"
"44","GO:0044444",0.0256476409824328,1.39447260485993,43.0971978984238,55,623,"cytoplasmic part"
"45","GO:0030118",0.025962794109446,4.19412347309343,1.17600700525394,4,17,"clathrin coat"
"46","GO:0009331",0.0260497394035375,13.5617021276596,0.276707530647986,2,4,"glycerol-3-phosphate dehydrogenase complex"
"47","GO:0005839",0.0402462015403018,2.96664167916042,1.9369527145359,5,28,"proteasome core complex"
"48","GO:0030136",0.0414527864156231,9.03829787234043,0.345884413309982,2,5,"clathrin-coated vesicle"
