"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0044424",0.0359337354864255,0.353206865401987,9.17980151780502,5,1850,"intracellular part"
"2","GO:0032991",0.0364333798985675,0.170865279299014,4.53531815528313,1,914,"macromolecular complex"
"3","GO:0044446",0.037121582028221,0,2.9871570344425,0,602,"intracellular organelle part"
"4","GO:0044422",0.037121582028221,0,2.9871570344425,0,602,"organelle part"
"5","GO:0005623",0.0407882887122261,0.375523436444685,10.0481611208406,6,2025,"cell"
"6","GO:0044464",0.0407882887122261,0.375523436444685,10.0481611208406,6,2025,"cell part"
"7","GO:0005737",0.0477696300277693,0.184385863267671,4.28721541155867,1,864,"cytoplasm"
