"","logFC","logCPM","PValue","FDR"
"HWER_07852",-6.90681100356374,6.33799840600744,2.02609392590553e-83,5.25366154987304e-80
"HWER_06154",5.20233328560286,5.86063295206023,7.95030312733936e-78,1.03075680045955e-74
"HWER_13913",-4.52047067664586,5.8071223230524,7.67929118201024e-72,5.59752761101185e-69
"HWER_03971",3.95514482241952,8.64754423566565,8.63482855535958e-72,5.59752761101185e-69
"HWER_08887",4.15497078440884,7.83725417161595,1.09524137721185e-64,5.67992178222063e-62
"HWER_09857",3.5667715129733,7.7400521598577,4.85112746681448e-62,2.09649558690832e-59
"HWER_12147",3.48949256492571,6.8620508885413,2.85565354723836e-61,1.05781566399844e-58
"HWER_02905",-4.13358606305019,6.50854900152294,1.94670996135679e-60,6.30977366224769e-58
"HWER_15617",4.07733781810039,8.50183550902004,3.53645313826938e-58,1.01889144305917e-55
"HWER_05039",-4.74882708408803,8.78477063431786,6.08560913444534e-56,1.57799844856168e-53
"HWER_03719",-5.07108918221449,6.72052044777721,3.65913727794796e-53,8.62558451065369e-51
"HWER_03623",2.44355566034702,7.11280844191714,1.59916024538038e-51,3.45551876355943e-49
"HWER_03949",2.44578774576054,7.10873340529039,2.33259365001841e-51,4.65262718038288e-49
"HWER_15277",2.91268325862152,7.46197015383757,3.35967564587954e-50,6.2225992498326e-48
"HWER_04805",-3.7464005939837,8.75164610733614,4.61111764918493e-49,7.97108537622435e-47
"HWER_09462",-3.53640858022621,8.60608852089264,6.3304333776126e-47,1.02592585925934e-44
"HWER_05484",5.42108051265623,6.41785618003144,3.941211141491e-46,6.01150617052128e-44
"HWER_08156",-3.57606317530673,7.88942689077186,1.26724935975845e-43,1.82554310547426e-41
"HWER_13429",-9.57655953855473,6.85033713258924,3.15143144906183e-43,4.30087460390385e-41
"HWER_13732",2.73726712644688,8.57632319681353,1.1443702834894e-42,1.48367607254401e-40
"HWER_03024",3.07670149304684,6.28631465517467,8.41963365582096e-41,1.03962428902589e-38
"HWER_03878",3.07641551971831,8.12751658801964,2.19407295418102e-40,2.58601416826882e-38
"HWER_10176",-2.66011001290335,7.31507066679973,1.20883087395871e-39,1.36282541572823e-37
"HWER_08139",-4.19860867870021,8.08175374532427,3.44802969379294e-38,3.72530874833546e-36
"HWER_00308",2.45985951714647,8.40350331730973,2.85832497865711e-37,2.96465466786315e-35
"HWER_02708",2.08019596219701,7.278156408427,4.70002753037872e-37,4.68737361010463e-35
"HWER_07564",-4.30285197721139,6.38211552610895,6.71350875048129e-37,6.44745488518443e-35
"HWER_03939",-2.0529084340462,7.23611856434431,1.20794111698786e-35,1.11863975583912e-33
"HWER_07346",-2.50695981839093,8.8514878243752,4.13505402107105e-35,3.69730864711628e-33
"HWER_11834",2.91305989461543,6.88136369925833,7.92405249461102e-35,6.84902270617546e-33
"HWER_08019",-2.35992075023725,6.10906924048637,2.46122039153667e-33,2.05869176621116e-31
"HWER_07851",-7.1869700072414,7.14192804888442,5.10184713060755e-33,4.13409050302043e-31
"HWER_11608",2.45236423261743,8.27821922290713,9.86758616253121e-33,7.75353058164953e-31
"HWER_10388",2.33046033052279,6.10298892701815,6.91509860133631e-31,5.27377960978384e-29
"HWER_16005",2.29815631387038,7.74063014077438,1.90404588501955e-30,1.41062599424448e-28
"HWER_04340",-2.59566397242774,6.23811088917834,7.12526996835171e-30,5.1321736188711e-28
"HWER_00383",2.05744067106443,7.78241077157022,5.41969000730244e-29,3.79817734836087e-27
"HWER_07650",1.78342275830278,7.2252801666039,1.11016946823265e-28,7.57544587138754e-27
