"","logFC","logCPM","LR","PValue","FDR"
"HWER_11243",-8.32915224527562,7.46094463520271,742.4614001795,1.74813745208951e-163,4.5329204132681e-160
"HWER_09235",5.89104228141188,7.8581495580674,693.441050478115,7.97995361292257e-153,1.03460098591541e-149
"HWER_08766",4.65962834104673,7.20216612558715,667.704532075652,3.15357363955215e-147,2.72573881578624e-144
"HWER_08072",5.76032786584039,8.91406675071342,617.897118130395,2.14352002499838e-136,1.3895368562052e-133
"HWER_12698",-4.90761602840851,7.00434352771742,594.421004336254,2.73706028182737e-131,1.41943946215568e-128
"HWER_03428",5.05019651734707,7.07541108965073,578.062215568257,9.89895816947258e-128,4.27799975557373e-125
"HWER_07686",6.36740366899398,8.3599224532663,510.590005476519,4.71896233763347e-113,1.7480384773548e-110
"HWER_06261",4.39783192791542,8.88193769617369,498.575252141612,1.94074085104159e-110,6.29042628343854e-108
"HWER_04805",-6.38276019628996,8.75137106492154,491.774458269681,5.85749088254195e-109,1.68760820649236e-106
"HWER_07632",4.38888910454056,8.28343345732473,485.87403752636,1.12611366196228e-107,2.92001272546819e-105
"HWER_09462",-5.94864212308669,8.60579786079283,481.415165085655,1.05149653128943e-106,2.47866409603044e-104
"HWER_11608",-4.79687362315131,8.27775812045991,473.280804124581,6.19222854902596e-105,1.33803738563536e-102
"HWER_02804",-5.38224901841968,8.47904402607154,467.915112003329,9.10872758971845e-104,1.8168408184723e-101
"HWER_15617",5.62632133311311,8.50202463953661,451.804756144895,2.91979549805714e-100,5.4078783760444e-98
"HWER_07476",3.9437237248502,7.19766981886996,450.04987322462,7.03496253637756e-100,1.21611052378847e-97
"HWER_03100",-4.13676042818965,8.25373960478081,434.570450928457,1.6449089624451e-96,2.66578058726258e-94
"HWER_14981",-4.62247338258647,6.61478569886214,422.413589736374,7.27953196908292e-94,1.11034272916659e-91
"HWER_03919",3.87422672225525,6.93859112658146,419.587299653531,3.00106554321661e-93,4.32320164086704e-91
"HWER_10104",5.99103546552036,8.88473230044863,415.105251546889,2.8370100198487e-92,3.87177209550931e-90
"HWER_11128",4.62928716963463,5.96954354361666,401.927201950871,2.09608796423826e-89,2.58932504707994e-87
"HWER_15223",4.42326344058572,8.57557333504238,401.926311461353,2.09702375583026e-89,2.58932504707994e-87
"HWER_15444",4.65750270309082,6.35684406669361,399.741979719934,6.267617269017e-89,7.38724162661868e-87
"HWER_14701",5.81088621361758,7.23637334836984,393.825964987956,1.21610292517312e-87,1.37102386303214e-85
"HWER_03878",5.04991948949703,8.12775373012019,392.202157224087,2.74453253886009e-87,2.96523869719343e-85
"HWER_14019",3.94850626059245,8.37524291033142,377.409517935506,4.55989569577531e-84,4.72952381565815e-82
"HWER_02156",3.97246328607207,6.75791397249236,375.842244406595,1.00042128438215e-83,9.97727842462659e-82
"HWER_08495",-6.59546562839618,8.46007418375072,369.723728028978,2.14954794657829e-82,2.06436215758426e-80
"HWER_04095",4.66701574346023,6.32522124080563,363.391277988258,5.14224077773982e-81,4.76208226309977e-79
"HWER_08207",4.36040189283294,6.69781295935899,356.168894295216,1.92224372204243e-79,1.71875102457104e-77
"HWER_08638",3.93439552397133,7.06699194687326,355.814491016777,2.29604886118192e-79,1.98455156568157e-77
"HWER_13042",3.90104906956178,6.34352361611289,355.382616307652,2.85117444659876e-79,2.384869464526e-77
"HWER_16005",3.98337386588261,7.74091703322451,339.787575387712,7.09795013663885e-76,5.75155772009517e-74
"HWER_04818",4.39367242759146,7.95122542042559,325.656026029527,8.49042515009035e-73,6.67141588308615e-71
"HWER_03016",3.50145011904355,6.7571183420687,317.720743935233,4.54336913536428e-71,3.46498710823517e-69
"HWER_09206",3.83434504059283,7.60710772113426,314.298091145118,2.52891884078712e-70,1.87356758690315e-68
"HWER_15532",3.01568738765136,7.12660051031769,314.080222079033,2.82094222777789e-70,2.03186199906335e-68
"HWER_15005",4.02818240581253,8.91434821675673,312.857349152176,5.20930118441781e-70,3.65073458680957e-68
"HWER_12147",3.79076654839997,6.86254261599399,311.119706720354,1.24539040680537e-69,8.49815085485874e-68
"HWER_11073",3.34825090500037,6.87168815220623,308.533953671775,4.55612279092208e-69,3.02923753765665e-67
"HWER_03877",3.62255400992035,6.82107383059853,302.563046735636,9.1070473110245e-68,5.90364341937163e-66
"HWER_10814",4.19699691029368,6.43812447916301,301.188704870815,1.8146559408465e-67,1.14765923283292e-65
"HWER_11823",2.92712696592663,7.24533556306355,293.595676011437,8.1866720893003e-66,5.05429541132278e-64
"HWER_09857",3.70333078270278,7.74031833724475,292.436438710052,1.46448826236293e-65,8.83120480071413e-64
"HWER_10368",3.66884774496129,7.18667682775004,292.092535847086,1.74027245966673e-65,1.02557420179905e-63
"HWER_03243",3.58380482707784,6.61620029702206,288.332728585227,1.14773920611057e-64,6.61352835876602e-63
"HWER_01784",5.3156736512762,6.88573943889922,284.275041835961,8.79053223364265e-64,4.955184800399e-62
"HWER_14231",3.39553940265537,6.68760216753232,282.433843026099,2.21425494221926e-63,1.22160916280309e-61
"HWER_03002",6.91856470491221,9.37377455259731,280.126242468586,7.04832204497466e-63,3.80756230471235e-61
"HWER_02708",2.79677553765951,7.27848178577421,276.888610592103,3.57795693711395e-62,1.89339639549724e-60
"HWER_02462",3.44836110768906,7.37226125128055,273.73553522498,1.7409485426146e-61,9.0285591419993e-60
"HWER_15531",4.18254557375984,6.28448982379023,273.060370034656,2.44302883274962e-61,1.24211250261172e-59
"HWER_15592",3.57987479616762,7.05342788230207,272.035221231067,4.08646429772398e-61,2.03773113923044e-59
"HWER_10103",3.43069079823921,7.10910145069731,271.937416884387,4.29203419828525e-61,2.09985748606673e-59
"HWER_03882",3.52409660506999,6.54079851469591,271.554645641639,5.20097238293518e-61,2.49742988684276e-59
"HWER_00193",3.71704128613581,7.52405699024773,269.964811969152,1.15499028819793e-60,5.44525421326771e-59
"HWER_05646",2.91589095232611,7.04626329161232,269.703443100034,1.3168692761747e-60,6.09757505914465e-59
"HWER_00435",3.11795444106579,6.91712059870879,267.107588527882,4.84518194549799e-60,2.20413276924146e-58
"HWER_03524",3.51670734915793,6.43563002610852,266.614528877978,6.20547296651307e-60,2.77427437968421e-58
"HWER_05822",3.43153936269293,6.47614524214531,265.649604054265,1.0071337786924e-59,4.42626760703288e-58
"HWER_03024",3.87754020486107,6.28708936261945,264.186746140227,2.0986156608514e-59,9.06951734764612e-58
"HWER_11877",4.51168077406942,9.82035516269693,258.541028332432,3.5689503173716e-58,1.51709642179419e-56
"HWER_05305",2.83906769868271,7.18114012200707,257.865085197552,5.01053192038376e-58,2.070684667935e-56
