"","logFC","logCPM","LR","PValue","FDR"
"HWER_11608",7.24928827839919,8.27775812045991,845.173067336028,8.14620240677605e-186,2.11231028407703e-182
"HWER_12698",5.63582821941773,7.00434352771742,724.228159989621,1.61160270384961e-159,2.08944290554102e-156
"HWER_13913",-8.3373176771667,5.80852086414389,699.590894393649,3.67000701435753e-154,3.17210939607636e-151
"HWER_07632",-5.51489687369097,8.28343345732473,691.908872654919,1.71865023070188e-152,1.11411501205249e-149
"HWER_09235",-5.74579269961537,7.8581495580674,668.192412331746,2.47003432646285e-147,1.28095980170363e-144
"HWER_03100",5.4125661985633,8.25373960478081,654.785494354884,2.03407177506185e-144,8.79058018789227e-142
"HWER_11243",7.4647092618577,7.46094463520271,653.37274038867,4.12676269038173e-144,1.52867080802283e-141
"HWER_06261",-5.06934499484076,8.88193769617369,622.172141753735,2.51956493377673e-137,8.16653984160383e-135
"HWER_14701",-7.93679454880085,7.23637334836984,619.243477505398,1.09219001504889e-136,3.14672078780197e-134
"HWER_02804",6.34355438716655,8.47904402607154,591.168157583515,1.39578533285095e-130,3.61927136808251e-128
"HWER_03971",5.49206299930893,8.64731406403272,552.793127146543,3.10723608889766e-122,7.32460288955604e-120
"HWER_15444",-5.6914618758685,6.35684406669361,547.52506148966,4.34902595673255e-121,9.39752025483959e-119
"HWER_15531",-6.38338625143941,6.28448982379023,531.575763557362,1.28272593308971e-117,2.55854488038585e-115
"HWER_15592",-5.33943553032097,7.05342788230207,518.58682159955,8.59010279391803e-115,1.59100975318782e-112
"HWER_08072",-5.11837804166194,8.91406675071342,517.805245463485,1.27069618394364e-114,2.19661013664391e-112
"HWER_03428",-4.67520332206342,7.07541108965073,511.997935058038,2.33089576922197e-113,3.77750795599536e-111
"HWER_15406",-4.59904707015207,8.50519897276337,507.589344426251,2.12181104702271e-112,3.23638590878228e-110
"HWER_08207",-5.4252273305612,6.69781295935899,502.551965734657,2.6467739916925e-111,3.81282497803259e-109
"HWER_05039",-7.70816293140851,8.78494772418577,498.210630003339,2.32971326032845e-110,3.17944551791141e-108
"HWER_14981",4.90579570585193,6.61478569886214,461.550933171456,2.2099510030517e-102,2.86520147545653e-100
"HWER_02508",-4.91415160664586,6.81609683273223,444.746865017183,1.00313153742204e-98,1.23862860787397e-96
"HWER_07665",-5.0610303235316,6.8021356290552,421.30088150883,1.27143760528309e-93,1.49856259568139e-91
"HWER_07686",-5.48996158368096,8.3599224532663,411.086372945062,2.12643316316528e-91,2.39732225742938e-89
"HWER_03980",-5.02597079879616,7.60030880873609,409.970398286869,3.72023182651718e-91,4.01940046923294e-89
"HWER_13437",-4.30874024820906,8.06080270472359,390.001522333291,8.27076815801872e-87,8.57844073349702e-85
"HWER_08019",-4.18354144227858,6.11005413152784,385.66335857601,7.27750867457899e-86,7.25791538199359e-84
"HWER_07476",-3.5309109297363,7.19766981886996,373.868355111502,2.69119371098234e-83,2.58454270095452e-81
"HWER_03524",-4.29679430956771,6.43563002610852,372.366690063464,5.71342722200086e-83,5.29104170951722e-81
"HWER_16053",-3.61717841879339,7.53305336766975,364.932051245819,2.37500194512535e-81,2.12357932541725e-79
"HWER_06798",-4.4267469596718,6.15112019670573,359.637473931518,3.37693792210904e-80,2.91880001067625e-78
"HWER_03877",-4.00181957586434,6.82107383059853,357.267805616935,1.10794357021108e-79,9.26741186308816e-78
"HWER_10368",-4.13746200798061,7.18667682775004,356.313461490799,1.78783917944326e-79,1.44870843509262e-77
"HWER_01784",-6.14923158374819,6.88573943889922,353.241464109616,8.34207383466199e-79,6.55484771311471e-77
"HWER_10521",-4.0539878093159,6.81316651174862,350.317545816299,3.614012031497e-78,2.75621564637404e-76
"HWER_07346",-3.94121379723136,8.85163222203722,349.591153653189,5.2020178240085e-78,3.85395206218687e-76
"HWER_08495",6.29051414769667,8.46007418375072,346.265493876868,2.75672552009184e-77,1.98560813155504e-75
"HWER_09206",-4.02777042925866,7.60710772113426,340.796473648481,4.27970073015871e-76,2.99926053873014e-74
"HWER_08887",4.63818995534052,7.83700994618008,339.385078414601,8.68540216392922e-76,5.92664416080749e-74
"HWER_03949",3.06685641227854,7.10834176343037,337.931389021254,1.80045078142821e-75,1.1970689426265e-73
"HWER_07852",-6.28408105652355,6.33893194901644,336.585167928655,3.53647965189246e-75,2.29252293433929e-73
"HWER_03919",-3.37154703028919,6.93859112658146,331.617428076117,4.27082655219182e-74,2.70103737800815e-72
