"","logFC","logCPM","PValue","FDR"
"HWER_11243",-8.32925097060455,7.46179561386523,3.08363828201088e-164,7.99587406525421e-161
"HWER_09235",5.89106782691789,7.85783231252069,2.27018623689931e-155,2.94329645613995e-152
"HWER_08766",4.65964049195637,7.20170957590744,1.45519552115819e-146,1.25777399545439e-143
"HWER_12698",-4.90762908851053,7.00543262585391,1.19350626889608e-133,7.73690438811884e-131
"HWER_08072",5.76033765377749,8.91391604797044,6.56460127439271e-132,3.40440222090006e-129
"HWER_03428",5.05021826826207,7.07487941778116,1.68854164902053e-125,7.2973141598504e-123
"HWER_07686",6.36742514671939,8.35970141353403,1.70444969801333e-114,6.31376866706939e-112
"HWER_04805",-6.38277209956207,8.75164610733614,2.53637777736149e-109,8.22103447087293e-107
"HWER_07632",4.38890009322935,8.2831945424345,3.60544740886731e-107,1.03876945902144e-104
"HWER_02804",-5.38225535924932,8.47944850565627,4.41405708615585e-106,1.14456500244021e-103
"HWER_11608",-4.79687833440625,8.27821922290713,1.40220033183756e-105,3.30536860041345e-103
"HWER_06261",4.39783778111112,8.88178240853588,7.21522471670445e-105,1.55908980753455e-102
"HWER_09462",-5.94864813282318,8.60608852089264,5.39860509582951e-104,1.07681407796046e-101
"HWER_07476",3.9437331382705,7.19721538591947,2.02946995223795e-100,3.75886827582357e-98
"HWER_03100",-4.13676385166113,8.25418412242439,8.82188322558385e-98,1.52500954692926e-95
"HWER_14981",-4.62248645752737,6.61616545693963,2.43576895106642e-97,3.94746805632202e-95
"HWER_15617",5.6263279102778,8.50183550902004,2.0095154794839e-94,3.0651021401775e-92
"HWER_03919",3.87423707660565,6.93805281233379,1.76508969555808e-92,2.54270976699005e-90
"HWER_15223",4.42326830267826,8.57538984903512,1.60208595964943e-90,2.18642573335315e-88
"HWER_11128",4.62931229037774,5.96849401948517,7.25056670629951e-90,9.40035973471732e-88
"HWER_10104",5.99104320369769,8.88458712370762,1.79953562728588e-89,2.22199803883442e-87
"HWER_15444",4.65755154098903,6.35594627533961,1.9177193426127e-89,2.26029375245215e-87
"HWER_03878",5.04992653587612,8.12751658801964,2.58450539515521e-88,2.91374890853802e-86
"HWER_14701",5.81099186989169,7.23586069806428,9.44653169613275e-87,1.02061902866968e-84
"HWER_14019",3.94850940296862,8.37504786349831,1.83848081611553e-86,1.90687230247503e-84
"HWER_02156",3.97247505939762,6.75731439390909,2.25278778105889e-86,2.24672258318681e-84
"HWER_08495",-6.59548086202664,8.4604930160831,1.28581726305071e-83,1.23486080114463e-81
"HWER_04095",4.66703685115534,6.32439559451915,2.43385628147037e-80,2.25392476351881e-78
"HWER_13042",3.90106102341815,6.34276436288332,3.5496175047934e-80,3.17384765169975e-78
"HWER_08207",4.36043427648353,6.69710837511702,5.97626610825783e-80,5.16548600623751e-78
"HWER_08638",3.93440281027084,7.06654093294664,6.00971250943377e-79,5.02683372160057e-77
"HWER_16005",3.98337857924821,7.74063014077438,2.69732194381734e-76,2.18567368759949e-74
"HWER_04818",4.39367995543584,7.95094036980805,7.04338743839327e-74,5.53439503871326e-72
"HWER_03016",3.50146095878757,6.75650681871013,3.35241455887598e-73,2.55670910328394e-71
"HWER_15532",3.01569166498809,7.12619776036759,1.77868046300096e-70,1.31774812587471e-68
"HWER_12147",3.79077344816102,6.8620508885413,3.48049443899308e-70,2.47916765491163e-68
"HWER_09206",3.83435294415762,7.6067576483873,3.53757050643002e-70,2.47916765491163e-68
"HWER_11073",3.34825859518,6.87114934275827,7.0695824629451e-70,4.82405982274122e-68
"HWER_03877",3.62256764958618,6.82046882454497,8.43612600276322e-70,5.6089422372218e-68
"HWER_10814",4.19701512149037,6.43735729700146,5.6233893768245e-69,3.64536216352648e-67
"HWER_15005",4.02818527844634,8.91421234310312,1.42245372387512e-67,8.99615245367847e-66
"HWER_11823",2.92713157551121,7.24494040627371,8.47885256384329e-67,5.23468207096325e-65
"HWER_03243",3.58381587977675,6.6155494823685,1.61098070040396e-66,9.7145882701104e-65
"HWER_10368",3.66885865714084,7.18620432976977,2.42840117118637e-66,1.43110096292869e-64
"HWER_09857",3.70333433625988,7.7400521598577,5.41858630643735e-66,3.12230984279823e-64
"HWER_14231",3.3955510517391,6.6869555348759,3.64936093505107e-65,2.05712889230161e-63
"HWER_01784",5.31572463709897,6.88511034625704,5.15246064121981e-64,2.84262349844318e-62
"HWER_03002",6.91857532117678,9.37366739454383,5.95592532814139e-63,3.21744049497305e-61
"HWER_02462",3.448365721251,7.37190193290797,1.91714017404485e-62,1.01451927985679e-60
"HWER_02708",2.79677839637041,7.278156408427,3.31594385251321e-62,1.71964848191335e-60
