"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0044424",0.000374517067595877,0.112626262626263,9.17980151780502,2,1850,"intracellular part"
"2","GO:0005622",0.000809624430780437,0.154281389649704,9.84967892586106,3,1985,"intracellular"
"3","GO:0005623",0.00312320359651195,0.211319605678834,10.0481611208406,4,2025,"cell"
"4","GO:0044464",0.00312320359651195,0.211319605678834,10.0481611208406,4,2025,"cell part"
"5","GO:0005737",0.00705706615125339,0,4.28721541155867,0,864,"cytoplasm"
"6","GO:0043226",0.0108462725289662,0.1943763518385,6.8922942206655,2,1389,"organelle"
"7","GO:0043229",0.0108462725289662,0.1943763518385,6.8922942206655,2,1389,"intracellular organelle"
"8","GO:0044444",0.0326860211771725,0,3.09136018680677,0,623,"cytoplasmic part"
"9","GO:0032991",0.0364333798985675,0.170865279299014,4.53531815528313,1,914,"macromolecular complex"
"10","GO:0044446",0.037121582028221,0,2.9871570344425,0,602,"intracellular organelle part"
"11","GO:0044422",0.037121582028221,0,2.9871570344425,0,602,"organelle part"
