"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006266",0.0272459098635108,44.7225806451613,0.027550581145071,1,6,"DNA ligation"
"2","GO:0051103",0.0272459098635108,44.7225806451613,0.027550581145071,1,6,"DNA ligation involved in DNA repair"
"3","GO:0009098",0.0317164155197464,37.2634408602151,0.0321423446692495,1,7,"leucine biosynthetic process"
"4","GO:0006551",0.0317164155197464,37.2634408602151,0.0321423446692495,1,7,"leucine metabolic process"
"5","GO:0071897",0.0361670151611381,31.9354838709677,0.036734108193428,1,8,"DNA biosynthetic process"
"6","GO:0030259",0.0361670151611381,31.9354838709677,0.036734108193428,1,8,"lipid glycosylation"
"7","GO:0003333",0.0449467913642976,6.35648148148148,0.339790500789209,2,74,"amino acid transmembrane transport"
"8","GO:0006865",0.0449467913642976,6.35648148148148,0.339790500789209,2,74,"amino acid transport"
"9","GO:1903825",0.0494120707354382,6.01842105263158,0.358157554885923,2,78,"organic acid transmembrane transport"
"10","GO:0098656",0.0494120707354382,6.01842105263158,0.358157554885923,2,78,"anion transmembrane transport"
